Combined_Key,Lat,Long_
"Randall, Texas, US",34.96585996,-101.8971322
"Newton, Arkansas, US",35.91947491,-93.21612969
"Sullivan, New York, US",41.71579493,-74.76394559
"McLean, North Dakota, US",47.60766714,-101.3182418
"Rockwall, Texas, US",32.89779518,-96.40771592
"Saline, Nebraska, US",40.52418865,-97.14085859
"Washington, Virginia, US",36.72341572,-81.95666289
"Sumter, Alabama, US",32.59117397,-88.19916205
"Jefferson, West Virginia, US",39.30776166,-77.86014147
"Lyon, Kentucky, US",37.02080035,-88.07886257
"Mason, West Virginia, US",38.77071799,-82.02524219
"Newton, Indiana, US",40.95610449,-87.39635768
"Granville, North Carolina, US",36.30337451,-78.65184241
"Toole, Montana, US",48.65577551,-111.6942414
"Carbon, Pennsylvania, US",40.91545395,-75.7068525
"Pocahontas, West Virginia, US",38.32758728,-80.00993811
"TriCounty, Utah, US",40.12491499,-109.5174415
"Kandiyohi, Minnesota, US",45.1526059,-95.00586446
"Escambia, Florida, US",30.67652764,-87.37284571
"Navajo, Arizona, US",35.3997715,-110.3218983
"Calhoun, South Carolina, US",33.66926881,-80.77722168
"Buchanan, Iowa, US",42.4709188,-91.83510825
"Windsor, Vermont, US",43.58010937,-72.58595157
"Palo Alto, Iowa, US",43.08193849,-94.67824621
"Pope, Illinois, US",37.41391284,-88.56152109
"Shelby, Kentucky, US",38.21476019,-85.194223
"Bay, Michigan, US",43.70639106,-83.98731479
"Jewell, Kansas, US",39.78470589,-98.21820662
"Mountrail, North Dakota, US",48.20197971,-102.3555315
"Covington, Mississippi, US",31.63225413,-89.55389939
"Mason, Kentucky, US",38.59471935,-83.82151043
"Johnson, Wyoming, US",44.04057166,-106.5845174
"Ada, Idaho, US",43.4526575,-116.24155159999998
"Bradley, Arkansas, US",33.46755808,-92.15980837
"Throckmorton, Texas, US",33.17751417,-99.21226795
"Carter, Oklahoma, US",34.25103751,-97.28552485
"Woodford, Illinois, US",40.78579374,-89.20973757
"Oakland, Michigan, US",42.66090111,-83.38595416
"Jefferson, Texas, US",29.8832777,-94.16434171
"Sharp, Arkansas, US",36.16258158,-91.47819342
"McMullen, Texas, US",28.35251708,-98.56769164
"Hall, Nebraska, US",40.87257079,-98.50218293
"East Feliciana, Louisiana, US",30.84425359,-91.04976723
"Sherman, Oregon, US",45.41501554,-120.6827834
"Edwards, Illinois, US",38.41353228,-88.05720863
"St. Francis, Arkansas, US",35.02201976,-90.74828138
"Vinton, Ohio, US",39.25208988,-82.4831444
"Cheyenne, Colorado, US",38.82777431,-102.6032558
"Kenosha, Wisconsin, US",42.57639354,-88.04051686
"Wabash, Illinois, US",38.44272901,-87.84922065
"Lewis, Kentucky, US",38.53184419,-83.37735618
"Macon, Alabama, US",32.38759944,-85.69267724
"Winchester, Virginia, US",39.17054517,-78.17325058
"Houston, Minnesota, US",43.67129565,-91.49143057
"Perkins, Nebraska, US",40.85082525,-101.6502942
"Bath, Kentucky, US",38.14735938,-83.74588932
"Fresno, California, US",36.75733899,-119.6466953
"Spokane, Washington, US",47.62113146,-117.4046494
"Nottoway, Virginia, US",37.1435975,-78.05065922
"Effingham, Illinois, US",39.05935711,-88.58969584
"Wilkinson, Mississippi, US",31.16078225,-91.31018819
"Franklin, New York, US",44.59040891,-74.29926032
"Williams, North Dakota, US",48.34522353,-103.4793387
"Alameda, California, US",37.64629437,-121.8929271
"Southeast Fairbanks, Alaska, US",63.87692095,-143.2127643
"O'Brien, Iowa, US",43.08310673,-95.62474482
"Columbia, Wisconsin, US",43.46492199,-89.33589004
"Erie, New York, US",42.76249024,-78.73063652
"Frederick, Maryland, US",39.47296601,-77.39999394
"Chatham, North Carolina, US",35.70394416,-79.25541492
"Franklin, Washington, US",46.53351425,-118.9018212
"Kootenai, Idaho, US",47.67282258,-116.7020872
"Madison, Texas, US",30.96694679,-95.93003775
"Lipscomb, Texas, US",36.27783108,-100.2733151
"Hidalgo, Texas, US",26.39418217,-98.18299696
"Price, Wisconsin, US",45.68051754,-90.3609888
"Logan, Kansas, US",38.91735806,-101.148475
"White, Georgia, US",34.64624278,-83.74905525
"Baker, Georgia, US",31.32669878,-84.44218806
"Menifee, Kentucky, US",37.94090733,-83.59985712
"New Kent, Virginia, US",37.50694406,-76.99828634
"Los Alamos, New Mexico, US",35.86631386,-106.3134985
"Marion, Oregon, US",44.90287942,-122.5815117
"Van Buren, Iowa, US",40.75326764,-91.95017958
"Rush, Indiana, US",39.62002287,-85.4655599
"Bennett, South Dakota, US",43.19486375,-101.6665572
"Catahoula, Louisiana, US",31.66778967,-91.84526385
"Zapata, Texas, US",27.00156391,-99.16987152
"Ringgold, Iowa, US",40.73518949,-94.24368535
"Fulton, Kentucky, US",36.55238827,-89.20140068
"Lee, Texas, US",30.31120597,-96.97045773
"Winnebago, Wisconsin, US",44.06886922,-88.64477096
"Houston, Texas, US",31.31925973,-95.42226208
"Pierce, Wisconsin, US",44.71850291,-92.4224416
"Douglas, Illinois, US",39.76768052,-88.21854195
"Gladwin, Michigan, US",43.98901072,-84.38774817
